蒲福康TV,#genre#
凤凰卫视2,http://122.224.232.218:8888/rtp/233.50.200.191:5140
凤凰卫视3,http://122.224.232.226:8888/rtp/233.50.200.191:5140
凤凰卫视4,http://211.72.65.236:8577/.m3u8
凤凰卫视5,http://home.suerwei.net:64444/udp/239.93.1.9:2192
凤凰卫视6,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8577/.m3u8
凤凰资讯7,http://www.91dos.cn:4022/rtp/239.61.2.183:9086
凤凰卫视8,http://ayolee.com:5253/udp/239.93.0.162:2192
凤凰卫视9,http://ayolee.com:5253/udp/239.93.1.9:2192
凤凰资讯10,http://118.112.148.228:4022/udp/239.93.0.118:2191
凤凰卫视11,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8
凤凰卫视12,http://146.56.153.245:20121/bysid/258
凤凰卫视13,http://codomo.eu.org:4022/udp/239.93.0.162:2192
凤凰卫视14,http://codomo.eu.org:4022/udp/239.93.1.9:2192
凤凰卫视15,http://nas.jumping.wang:5555/rtp/239.93.0.162:2192
凤凰卫视16,http://nas.jumping.wang:5555/rtp/239.93.1.9:2192
凤凰卫视17,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰卫视18,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc&
凤凰卫视19,http://wouu.net:9977/udp/239.93.1.9:2192
凤凰卫视20,http://www.91dos.cn:4022/udp/239.61.2.184:9092
凤凰卫视21,http://www.91dos.cn:4022/udp/239.61.5.48:1025
凤凰卫视22,http://www.yao87.com:4022/udp/239.76.253.135:9000
凤凰卫视23,http://xbbhome.top:8888/udp/239.93.0.162:2192
凤凰卫视24,http://xbbhome.top:8888/udp/239.93.1.9:2192
凤凰卫视25,http://xeace.cn:8888/udp/239.93.0.162:2192
凤凰卫视26,http://13457610200.8866.org:2018/live/凤凰深圳旁边/index.m3u8
凤凰卫视27,http://dms.yryyj.site:8188/udp/239.76.246.135:1234
凤凰资讯28,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8
凤凰资讯29,http://122.224.232.218:8888/rtp/233.50.200.192:5140
凤凰资讯30,http://122.224.232.226:8888/rtp/233.50.200.192:5140
凤凰资讯31,http://146.56.153.245:20121/bysid/257
凤凰资讯32,http://13457610200.8866.org:2018/live/凤凰资讯/index.m3u8
凤凰资讯33,http://ayolee.com:5253/udp/239.93.1.4:2191
凤凰资讯34,http://codomo.eu.org:4022/udp/239.93.0.118:2191
凤凰资讯35,http://dms.yryyj.site:8188/udp/239.76.246.134:1234
凤凰资讯36,http://dms.yryyj.site:8188/udp/239.76.253.134:9000
凤凰资讯37,http://home.suerwei.net:64444/udp/239.93.0.118:2191
凤凰资讯38,http://home.suerwei.net:64444/udp/239.93.1.4:2191
凤凰资讯39,http://lidahai.top:8100/udp/239.93.1.4:2191
凤凰资讯40,http://nas.jumping.wang:5555/rtp/239.93.0.118:2191
凤凰资讯41,http://nas.jumping.wang:5555/rtp/239.93.1.4:2191
凤凰资讯42,http://wouu.net:9977/rtp/239.93.0.118:2191
凤凰资讯43,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰资讯44,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc&
凤凰资讯45,http://wouu.net:9977/udp/239.93.0.118:2191
凤凰资讯46,http://www.91dos.cn:4022/udp/239.61.2.183:9086
凤凰资讯47,http://www.91dos.cn:4022/udp/239.61.5.47:1025
凤凰资讯48,http://www.372583307.top:4022/udp/233.50.200.192:5140
凤凰资讯49,http://www.jeremyoto.com:82/rtp/233.50.200.192:5140
凤凰资讯50,http://xbbhome.top:8888/udp/239.93.0.118:2191
凤凰资讯51,http://xeace.cn:8888/udp/239.93.0.118:2191
