Tea House,#genre#
1，鳳凰衛視FHD,https://stream1.freetv.fun/feng-huang-wei-shi-8.ctv
2，鳳凰衛視FHD,https://stream1.freetv.fun/feng-huang-wei-shi-4.ctv
3，鳳凰衛視FHD[geo-blocked],https://stream1.freetv.fun/feng-huang-wei-shi-10.m3u8
4，鳳凰衛視FHD[geo-blocked],https://stream1.freetv.fun/feng-huang-wei-shi-3.m3u8
5，鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-wei-shi-2.ctv
6，鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen-16.ctv
7，鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-zhong-wen-3.m3u8
8，鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen-5.ctv
9，鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-zhong-wen-13.ctv
10，鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-zhong-wen-7.ctv
11，鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen-12.m3u8
12，鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-zhong-wen-8.m3u8
13，鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-zhong-wen-18.m3u8
14，鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-zhong-wen-14.ctv
15，鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen-15.m3u8
16，鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-wei-shi-1.ctv
17，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-22.ctv
18，鳳凰資訊HD[geo-blocked],https://stream1.freetv.fun/feng-huang-zi-xun-23.m3u8
19，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-21.ctv
20，鳳凰資訊HD[geo-blocked],https://stream1.freetv.fun/feng-huang-zi-xun-20.m3u8
21，鳳凰資訊HD[geo-blocked],https://stream1.freetv.fun/feng-huang-zi-xun-25.ctv
22，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-2.ctv
23，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-12.ctv
24，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-13.ctv
25，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-16.m3u8
26，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-19.m3u8
27，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-7.ctv
28，鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-3.ctv
29，鳳凰資訊HD[geo-blocked],https://stream1.freetv.fun/feng-huang-zi-xun-15.m3u8

